pca_dim,step,K,tv_barycenter,tv_pairwise,js_spread_bits
5,0,4,0.10685348776005235,0.14858440598968414,0.06199408312824972
5,1,3,0.022263800122421063,0.030823837383972253,0.019380189511904483
5,2,16,0.17362297019556916,0.24142685862454724,0.14257778446534486
5,3,24,0.24154146448746291,0.33940916135047344,0.27847783242761714
7,0,4,0.10685348776005235,0.14858440598968414,0.06199408312824972
7,1,3,0.022263800122421063,0.030823837383972253,0.019380189511904483
7,2,16,0.17362297019556916,0.24142685862454724,0.14257778446534486
7,3,24,0.24154146448746291,0.33940916135047344,0.27847783242761714
10,0,4,0.10685348776005235,0.14858440598968414,0.06199408312824972
10,1,3,0.022263800122421063,0.030823837383972253,0.019380189511904483
10,2,16,0.17362297019556916,0.24142685862454724,0.14257778446534486
10,3,24,0.24154146448746291,0.33940916135047344,0.27847783242761714
